,stolbec
153,"['Я', 'вышел', 'из', 'кино', ',', 'а', 'снег', 'уже', 'лежит', ',', 'и', 'бородач', 'стоит', 'с', 'фанерною', 'лопатой', ',', 'и', 'розовый', 'трамвай', 'по', 'воздуху', 'бежит', '—', 'четырнадцатый', ',', 'нет', ',', 'пятый', ',', 'двадцать', 'пятый.Однако', 'целый', 'мир', 'переменился', 'вдруг', ',', 'а', 'я', 'все', 'тот', 'же', 'я', ',', 'куда', 'же', 'мне', 'податься', ',', 'я', 'перенаберу', 'все', 'номера', 'подруг', ',', 'а', 'там', 'давно', 'живут', 'другие', ',', 'матерятся.Всему', 'виною', 'снег', ',', 'засыпавший', 'цветы', '.']"
154,"['Мальчишкой', 'в', 'серой', 'кепочке', 'остаться', ',', 'самим', 'собой', ',', 'короче', 'говоря', '.']"
155,"['Осыпаются', 'алые', 'клёны', ',', 'полыхают', 'вдали', 'небеса', ',', 'солнцем', 'розовым', 'залиты', 'склоны', '—', 'это', 'я', 'открываю', 'глаза', '.']"
156,"['Вслед', 'за', 'ним', 'устремляются', 'трое', '.']"
157,"['Оставь', 'меня', 'и', 'музыку', 'включи', '.']"
158,"['Читали', 'наизусть', 'Виталия', 'Кальпиди', '.']"
159,"['Ты', 'не', 'помнишь', 'этого', 'дождя', '!']"
160,"['Пьет', 'пиво', 'из', 'литровой', 'банки', ',', 'как', 'будто', 'в', 'пиве', 'есть', 'покой', '.']"
161,"['Она', 'откроет', 'голубой', 'альбом', ',', 'Где', 'лица', 'наши', 'будущим', 'согреты', ',', 'Где', 'живы', 'мы', ',', 'в', 'альбоме', 'голубом', ',', 'Земная', 'шваль', ':', 'бандиты', 'и', 'поэты', '.']"
162,"Плыли угары из труб, и летели кругом облака."
163,"['Я', 'по', 'снам', 'по', 'твоим', 'не', 'ходил', 'и', 'в', 'толпе', 'не', 'казался', ',', 'не', 'мерещился', 'в', 'сквере', ',', 'где', 'лил', 'дождь', ',', 'верней', '—', 'начинался', 'дождь', '(', 'я', 'вытяну', 'эту', 'строку', ',', 'а', 'другой', 'не', 'замечу', ')', ',', 'это', 'блазнилось', 'мне', ',', 'дураку', ',', 'что', 'вот-вот', 'тебя', 'встречу', ',', 'это', 'ты', 'мне', 'являлась', 'во', 'сне', ',', '(', 'и', 'меня', 'заполняло', 'тихой', 'нежностью', ')', ',', 'волосы', 'мне', 'на', 'висках', 'поправляла', '.']"
164,"['Если', 'в', 'прошлое', ',', 'лучше', 'трамваем', 'со', 'звоночком', ',', 'поддатым', 'соседом', ',', 'грязным', 'школьником', ',', 'тётей', 'с', 'приветом', ',', 'чтоб', 'листва', 'тополиная', 'следом', '.']"
165,"['Через', 'пять', 'или', 'шесть', 'остановок', 'въедем', 'в', 'восьмидесятые', 'годы', ':', 'слева', '—', 'фабрики', ',', 'справа', '—', 'заводы', ',', 'не', 'тушуйся', ',', 'закуривай', ',', 'что', 'ты', '.']"
166,"['Как', 'портаки', 'на', 'западных', 'пластинках', ',', 'я', 'изучил', 'все', 'корни', 'на', 'тропинках', '.']"
167,"['Иванов', ',', 'Синицын', ',', 'Лейкин', ',', 'Жаров', ':', 'вор', 'или', 'бандит', '?']"
168,"А потом загремит дядька Саша, и вновь дядька посева в драной майке на лестнице : так, мол, Бориска, и так, если кто обижает, скажи."
169,"['Я', 'придумал', 'его', ',', 'потому', 'что', 'поэту', 'не', 'в', 'кайф', 'без', 'героя.Я', 'его', 'сочинил', 'от', 'уста-', 'лости', ',', 'что', 'ли', ',', 'еще', 'от', 'желанья', 'быть', 'услышанным', ',', 'что', 'ли', ',', 'чита-', 'телю', 'в', 'кайф', ',', 'грехам', 'в', 'оправданье.Он', 'бездельничал', ',', '«', 'Русскую', '»', 'пил', ',', 'он', 'шмонался', 'по', 'паркам', 'туманным', '.']"
170,"['А', 'куда', 'приехало', '?']"
171,"['И', 'пусть', 'себе', 'по', 'скверу', 'шкандыбает', ',', 'пусть', 'курит', '«', 'Приму', '»', 'или', '«', 'Беломор', '»', '.']"
172,"['Прощай', ',', 'земное', '!']"
173,"['Пусть', 'станут', 'чёрными', 'леса', '.']"
